time,low,high,open,close,volume
2024-05-31 00:01:00,68325.86,68356.11,68356.11,68327.4,5.16394193
2024-05-31 00:02:00,68294.87,68329.48,68329.27,68300.4,2.23805328
2024-05-31 00:03:00,68280.11,68301.37,68301.37,68290.95,2.16011627
2024-05-31 00:04:00,68285.13,68334.36,68290.82,68323.93,3.03733772
2024-05-31 00:05:00,68304.76,68333.52,68323.93,68305.06,1.21812963
2024-05-31 00:06:00,68305.05,68339.32,68305.06,68339.31,1.08698339
2024-05-31 00:07:00,68332.19,68351.6,68339.29,68350.68,0.58752533
2024-05-31 00:08:00,68345.0,68355.96,68349.05,68351.25,1.23039984
2024-05-31 00:09:00,68345.28,68372.34,68350.3,68370.37,0.87664875
2024-05-31 00:10:00,68362.8,68376.8,68370.21,68371.84,2.15170873
2024-05-31 00:11:00,68357.76,68384.88,68371.84,68384.88,1.97476536
2024-05-31 00:12:00,68350.0,68384.87,68384.87,68360.68,7.03697218
2024-05-31 00:13:00,68322.81,68362.44,68358.77,68324.28,2.05796758
2024-05-31 00:14:00,68321.01,68352.55,68323.67,68339.69,3.87920787
2024-05-31 00:15:00,68320.81,68359.36,68339.68,68324.49,2.15124787
2024-05-31 00:16:00,68300.0,68342.68,68324.49,68339.62,1.45649978
2024-05-31 00:17:00,68335.38,68366.4,68339.57,68365.78,2.81190177
2024-05-31 00:18:00,68365.65,68389.57,68365.65,68383.46,1.72574361
2024-05-31 00:19:00,68377.42,68428.01,68386.87,68426.58,2.72914016
2024-05-31 00:20:00,68404.16,68433.17,68426.5,68415.1,2.140688
2024-05-31 00:21:00,68374.14,68438.78,68413.52,68375.99,9.29132498
2024-05-31 00:22:00,68357.69,68373.99,68373.99,68369.43,1.90907191
2024-05-31 00:23:00,68359.88,68375.99,68369.43,68363.88,1.37987942
2024-05-31 00:24:00,68340.86,68367.25,68364.77,68343.22,0.94003188
2024-05-31 00:25:00,68302.46,68345.92,68345.92,68312.75,2.90930633
2024-05-31 00:26:00,68288.64,68322.3,68312.35,68322.3,1.01038368
2024-05-31 00:27:00,68296.42,68344.12,68322.3,68300.96,2.38623476
2024-05-31 00:28:00,68300.97,68328.69,68300.97,68308.28,2.29362758
2024-05-31 00:29:00,68306.13,68310.68,68308.28,68308.3,1.52003596
2024-05-31 00:30:00,68307.87,68338.78,68307.87,68317.0,2.04990095
2024-05-31 00:31:00,68315.55,68345.94,68315.55,68344.87,1.02408974
2024-05-31 00:32:00,68345.93,68365.68,68345.93,68359.39,1.14198698
2024-05-31 00:33:00,68351.08,68366.27,68359.49,68351.27,0.82028654
2024-05-31 00:34:00,68311.17,68365.37,68351.27,68311.17,1.58217492
2024-05-31 00:35:00,68255.0,68311.16,68311.16,68289.74,3.19487757
2024-05-31 00:36:00,68289.74,68345.45,68289.74,68335.13,1.78818554
2024-05-31 00:37:00,68312.61,68334.68,68334.68,68313.13,0.74546346
2024-05-31 00:38:00,68259.71,68313.13,68313.13,68267.07,1.32918971
2024-05-31 00:39:00,68267.55,68292.16,68270.86,68279.64,1.7703287
2024-05-31 00:40:00,68279.62,68313.22,68279.62,68284.98,1.88634345
2024-05-31 00:41:00,68275.31,68287.35,68285.17,68277.38,1.98028632
2024-05-31 00:42:00,68281.04,68317.4,68281.05,68316.95,1.31929576
2024-05-31 00:43:00,68304.64,68327.73,68315.99,68317.76,2.11598712
2024-05-31 00:44:00,68300.01,68319.66,68312.98,68300.01,1.65772495
2024-05-31 00:45:00,68290.94,68317.8,68300.01,68315.3,1.63268226
2024-05-31 00:46:00,68313.67,68361.0,68315.3,68323.31,12.48238605
2024-05-31 00:47:00,68323.21,68334.7,68323.32,68329.16,0.78261431
2024-05-31 00:48:00,68309.47,68348.42,68329.16,68323.47,3.16776902
2024-05-31 00:49:00,68321.71,68344.64,68321.71,68337.76,1.47135278
2024-05-31 00:50:00,68333.55,68354.84,68333.81,68346.79,1.52561467
2024-05-31 00:51:00,68341.59,68364.19,68348.47,68357.13,1.64609835
2024-05-31 00:52:00,68336.89,68388.38,68353.14,68363.46,16.77410744
2024-05-31 00:53:00,68360.63,68369.88,68367.35,68368.84,1.66366042
2024-05-31 00:54:00,68365.66,68384.16,68365.66,68380.74,3.3395521
2024-05-31 00:55:00,68381.79,68392.53,68381.79,68388.22,2.00792175
2024-05-31 00:56:00,68382.47,68413.76,68388.72,68413.24,2.6015287
2024-05-31 00:57:00,68412.91,68440.78,68412.91,68440.31,1.68194891
2024-05-31 00:58:00,68433.91,68453.15,68439.91,68445.04,1.62958153
2024-05-31 00:59:00,68442.75,68453.12,68442.75,68445.61,1.74824316
2024-05-31 01:00:00,68406.57,68450.53,68445.62,68425.35,3.01007906
2024-05-31 01:01:00,68412.23,68449.53,68423.59,68449.51,1.07827618
2024-05-31 01:02:00,68434.8,68485.24,68449.13,68484.72,2.66098494
2024-05-31 01:03:00,68485.97,68574.87,68485.98,68573.85,10.97065205
2024-05-31 01:04:00,68563.31,68589.79,68572.89,68563.31,5.72155263
2024-05-31 01:05:00,68526.53,68567.15,68567.15,68539.38,3.33241082
2024-05-31 01:06:00,68535.92,68551.73,68537.99,68537.68,0.42791303
2024-05-31 01:07:00,68510.08,68550.63,68537.67,68510.08,4.29927929
2024-05-31 01:08:00,68504.81,68518.31,68510.15,68510.08,2.13371022
2024-05-31 01:09:00,68509.92,68529.01,68509.92,68528.06,1.28163852
2024-05-31 01:10:00,68526.69,68590.0,68526.69,68583.65,2.59933593
2024-05-31 01:11:00,68548.37,68588.84,68583.7,68561.97,2.73104509
2024-05-31 01:12:00,68548.37,68590.0,68566.06,68587.38,1.51197844
2024-05-31 01:13:00,68552.32,68588.05,68586.2,68552.32,1.11620495
2024-05-31 01:14:00,68552.31,68614.74,68552.32,68608.87,5.05769378
2024-05-31 01:15:00,68577.33,68614.74,68608.87,68601.52,20.05184245
2024-05-31 01:16:00,68486.31,68599.86,68598.67,68494.64,7.36430242
2024-05-31 01:17:00,68399.68,68492.37,68492.37,68455.53,8.51200982
2024-05-31 01:18:00,68436.07,68490.69,68455.52,68489.93,1.09268379
2024-05-31 01:19:00,68465.7,68489.93,68489.93,68467.99,1.06308279
2024-05-31 01:20:00,68419.31,68473.51,68468.97,68443.31,1.3064762
2024-05-31 01:21:00,68443.31,68486.11,68443.31,68466.84,0.92377436
2024-05-31 01:22:00,68463.73,68495.62,68466.84,68473.99,0.68021819
2024-05-31 01:23:00,68456.8,68478.39,68473.99,68459.3,1.1658385
2024-05-31 01:24:00,68434.92,68464.57,68458.86,68442.56,1.56684301
2024-05-31 01:25:00,68424.07,68466.53,68442.45,68455.0,2.01535534
2024-05-31 01:26:00,68456.47,68486.54,68456.47,68463.87,1.95312719
2024-05-31 01:27:00,68466.99,68505.24,68466.99,68500.03,1.37563126
2024-05-31 01:28:00,68495.62,68524.78,68499.91,68521.33,1.71901045
2024-05-31 01:29:00,68496.39,68538.66,68517.68,68500.67,1.25357
2024-05-31 01:30:00,68484.16,68548.98,68500.84,68489.37,3.16535495
2024-05-31 01:31:00,68446.75,68536.1,68494.21,68446.75,3.16147721
2024-05-31 01:32:00,68437.25,68492.88,68446.82,68448.13,2.84037888
2024-05-31 01:33:00,68447.04,68481.58,68447.04,68477.13,1.29893218
2024-05-31 01:34:00,68478.11,68521.66,68478.11,68521.66,2.15615627
2024-05-31 01:35:00,68501.75,68521.62,68521.62,68519.55,1.61036354
2024-05-31 01:36:00,68490.23,68527.47,68515.36,68499.48,1.98873069
2024-05-31 01:37:00,68499.47,68514.9,68499.47,68507.0,0.54151912
2024-05-31 01:38:00,68482.83,68508.96,68500.17,68508.45,4.21326907
2024-05-31 01:39:00,68494.27,68508.2,68504.0,68501.57,0.64814198
2024-05-31 01:40:00,68480.01,68508.08,68500.87,68500.35,1.24321978
2024-05-31 01:41:00,68500.72,68512.54,68501.31,68508.7,0.55400088
2024-05-31 01:42:00,68499.94,68512.53,68508.7,68504.68,2.77937944
2024-05-31 01:43:00,68463.37,68504.92,68504.64,68469.09,0.60700344
2024-05-31 01:44:00,68457.13,68469.08,68469.08,68460.47,1.28859929
2024-05-31 01:45:00,68443.51,68473.82,68463.96,68444.69,1.43276612
2024-05-31 01:46:00,68426.84,68450.8,68450.12,68435.99,0.98870074
2024-05-31 01:47:00,68410.8,68452.13,68430.75,68434.9,3.17998933
2024-05-31 01:48:00,68415.2,68434.9,68434.9,68415.84,1.18742626
2024-05-31 01:49:00,68359.3,68417.38,68415.84,68363.08,2.57746107
2024-05-31 01:50:00,68300.0,68360.49,68358.6,68303.88,1.56219874
2024-05-31 01:51:00,68303.46,68342.22,68303.46,68328.55,2.05232097
2024-05-31 01:52:00,68292.73,68324.3,68324.29,68309.6,2.46960874
2024-05-31 01:53:00,68306.85,68356.63,68309.6,68336.42,3.94684875
